action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,modality,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,306061,[],CHEMBL676871,In vitro inhibition of gamma secretase.,B,,,BAO_0000190,BAO_0000223,protein complex format,C[C@@H](Cc1ccc(F)c(F)c1)C(=O)N[C@H]1N=C(c2ccc3c(c2)OCO3)c2ccccc2NC1=O,,,CHEMBL1145882,Bioorg Med Chem Lett,2003,"{'bei': '18.31', 'le': '0.34', 'lle': '4.94', 'sei': '9.82'}",,CHEMBL336071,,CHEMBL336071,8.74,0,http://www.openphacts.org/units/Nanomolar,254693,=,1,1,=,,IC50,nM,,1.8,CHEMBL2094135,Homo sapiens,Gamma-secretase,9606,,,IC50,nM,UO_0000065,,1.8
,,306062,[],CHEMBL676871,In vitro inhibition of gamma secretase.,B,,,BAO_0000190,BAO_0000223,protein complex format,C[C@@H](Cc1ccc(F)c(F)c1)C(=O)N[C@H]1N=C(c2ccc3c(c2)OCO3)c2ccccc2N(CCO)C1=O,,,CHEMBL1145882,Bioorg Med Chem Lett,2003,"{'bei': '17.34', 'le': '0.33', 'lle': '5.86', 'sei': '9.00'}",,CHEMBL336813,,CHEMBL336813,9.05,0,http://www.openphacts.org/units/Nanomolar,254689,=,1,1,=,,IC50,nM,,0.9,CHEMBL2094135,Homo sapiens,Gamma-secretase,9606,,,IC50,nM,UO_0000065,,0.9
,,307380,[],CHEMBL676871,In vitro inhibition of gamma secretase.,B,,,BAO_0000190,BAO_0000223,protein complex format,C[C@@H](Cc1ccc(F)c(F)c1)C(=O)N[C@H]1N=C(c2ccc3c(c2)OCO3)c2ccccc2N(CC(N)=O)C1=O,,,CHEMBL1145882,Bioorg Med Chem Lett,2003,"{'bei': '14.74', 'le': '0.28', 'lle': '5.20', 'sei': '6.39'}",,CHEMBL334594,,CHEMBL334594,7.88,0,http://www.openphacts.org/units/Nanomolar,254686,=,1,1,=,,IC50,nM,,13.2,CHEMBL2094135,Homo sapiens,Gamma-secretase,9606,,,IC50,nM,UO_0000065,,13.2
,,311377,[],CHEMBL676871,In vitro inhibition of gamma secretase.,B,,,BAO_0000190,BAO_0000223,protein complex format,C[C@@H](Cc1ccc(F)c(F)c1)C(=O)N[C@H]1N=C(c2ccc3c(=O)ccoc3c2)c2ccccc2N(C)C1=O,,,CHEMBL1145882,Bioorg Med Chem Lett,2003,"{'bei': '17.30', 'le': '0.32', 'lle': '4.71', 'sei': '9.70'}",,CHEMBL133237,,CHEMBL133237,8.92,0,http://www.openphacts.org/units/Nanomolar,254695,=,1,1,=,,IC50,nM,,1.2,CHEMBL2094135,Homo sapiens,Gamma-secretase,9606,,,IC50,nM,UO_0000065,,1.2
,,312782,[],CHEMBL676871,In vitro inhibition of gamma secretase.,B,,,BAO_0000190,BAO_0000223,protein complex format,C[C@@H](Cc1ccc(F)c(F)c1)C(=O)N[C@H]1N=C(c2ccc3c(c2)CCN(C)C3=O)c2ccccc2N(C)C1=O,,,CHEMBL1145882,Bioorg Med Chem Lett,2003,"{'bei': '10.79', 'le': '0.20', 'lle': '1.99', 'sei': '6.97'}",,CHEMBL132900,,CHEMBL132900,5.72,0,http://www.openphacts.org/units/Nanomolar,254697,=,1,1,=,,IC50,nM,,1884.0,CHEMBL2094135,Homo sapiens,Gamma-secretase,9606,,,IC50,nM,UO_0000065,,1884.0
,,314066,[],CHEMBL676871,In vitro inhibition of gamma secretase.,B,,,BAO_0000190,BAO_0000223,protein complex format,C[C@@H](Cc1ccc(F)c(F)c1)C(=O)N[C@H]1N=C(c2ccc3c(c2)CCC3=O)c2ccccc2N(C)C1=O,,,CHEMBL1145882,Bioorg Med Chem Lett,2003,"{'bei': '16.84', 'le': '0.31', 'lle': '4.21', 'sei': '10.71'}",,CHEMBL423533,,CHEMBL423533,8.44,0,http://www.openphacts.org/units/Nanomolar,254696,=,1,1,=,,IC50,nM,,3.6,CHEMBL2094135,Homo sapiens,Gamma-secretase,9606,,,IC50,nM,UO_0000065,,3.6
,,316426,[],CHEMBL676871,In vitro inhibition of gamma secretase.,B,,,BAO_0000190,BAO_0000223,protein complex format,C[C@@H](Cc1ccc(F)c(F)c1)C(=O)N[C@H]1N=C(c2ccc3c(O)nccc3c2)c2ccccc2N(C)C1=O,,,CHEMBL1145882,Bioorg Med Chem Lett,2003,"{'bei': '18.85', 'le': '0.35', 'lle': '5.35', 'sei': '10.22'}",,CHEMBL133857,,CHEMBL133857,9.70,0,http://www.openphacts.org/units/Nanomolar,254681,=,1,1,=,,IC50,nM,,0.2,CHEMBL2094135,Homo sapiens,Gamma-secretase,9606,,,IC50,nM,UO_0000065,,0.2
,,316427,[],CHEMBL676871,In vitro inhibition of gamma secretase.,B,,,BAO_0000190,BAO_0000223,protein complex format,C[C@@H](Cc1ccc(F)c(F)c1)C(=O)N[C@H]1N=C(c2ccc3c(c2)OC(F)(F)O3)c2ccccc2N(C)C1=O,,,CHEMBL1145882,Bioorg Med Chem Lett,2003,"{'bei': '14.32', 'le': '0.27', 'lle': '3.13', 'sei': '9.41'}",,CHEMBL133235,,CHEMBL133235,7.55,0,http://www.openphacts.org/units/Nanomolar,254685,=,1,1,=,,IC50,nM,,28.0,CHEMBL2094135,Homo sapiens,Gamma-secretase,9606,,,IC50,nM,UO_0000065,,28.0
,,322714,[],CHEMBL676871,In vitro inhibition of gamma secretase.,B,,,BAO_0000190,BAO_0000223,protein complex format,C[C@@H](Cc1ccc(F)c(F)c1)C(=O)NC1N=C(c2ccc(C(N)=O)cc2)c2ccccc2N(C)C1=O,,,CHEMBL1145882,Bioorg Med Chem Lett,2003,"{'bei': '18.98', 'le': '0.35', 'lle': '6.11', 'sei': '8.88'}",,CHEMBL130093,,CHEMBL130093,9.31,0,http://www.openphacts.org/units/Nanomolar,254688,=,1,1,=,,IC50,nM,,0.49,CHEMBL2094135,Homo sapiens,Gamma-secretase,9606,,,IC50,nM,UO_0000065,,0.49
,,327688,[],CHEMBL676871,In vitro inhibition of gamma secretase.,B,,,BAO_0000190,BAO_0000223,protein complex format,C[C@@H](Cc1ccc(F)c(F)c1)C(=O)N[C@H]1N=C(c2ccc3c(c2)OCO3)c2ccccc2N(C)C1=O,,,CHEMBL1145882,Bioorg Med Chem Lett,2003,"{'bei': '16.03', 'le': '0.30', 'lle': '4.05', 'sei': '9.82'}",,CHEMBL133746,,CHEMBL133746,7.88,0,http://www.openphacts.org/units/Nanomolar,254694,=,1,1,=,,IC50,nM,,13.2,CHEMBL2094135,Homo sapiens,Gamma-secretase,9606,,,IC50,nM,UO_0000065,,13.2
,,330373,[],CHEMBL676871,In vitro inhibition of gamma secretase.,B,,,BAO_0000190,BAO_0000223,protein complex format,CC(=O)CCN1C(=O)[C@@H](NC(=O)[C@@H](C)Cc2ccc(F)c(F)c2)N=C(c2ccc3c(c2)OCO3)c2ccccc21,,,CHEMBL1145882,Bioorg Med Chem Lett,2003,"{'bei': '15.40', 'le': '0.29', 'lle': '4.25', 'sei': '8.67'}",,CHEMBL335184,,CHEMBL335184,8.43,0,http://www.openphacts.org/units/Nanomolar,254690,=,1,1,=,,IC50,nM,,3.7,CHEMBL2094135,Homo sapiens,Gamma-secretase,9606,,,IC50,nM,UO_0000065,,3.7
,,331690,[],CHEMBL676871,In vitro inhibition of gamma secretase.,B,,,BAO_0000190,BAO_0000223,protein complex format,CNC(=O)CN1C(=O)[C@@H](NC(=O)[C@@H](C)Cc2ccc(F)c(F)c2)N=C(c2ccc3c(c2)OCO3)c2ccccc21,,,CHEMBL1145882,Bioorg Med Chem Lett,2003,"{'bei': '15.94', 'le': '0.30', 'lle': '5.80', 'sei': '8.00'}",,CHEMBL341256,,CHEMBL341256,8.74,0,http://www.openphacts.org/units/Nanomolar,254687,=,1,1,=,,IC50,nM,,1.8,CHEMBL2094135,Homo sapiens,Gamma-secretase,9606,,,IC50,nM,UO_0000065,,1.8
,,331691,[],CHEMBL676871,In vitro inhibition of gamma secretase.,B,,,BAO_0000190,BAO_0000223,protein complex format,C[C@@H](Cc1ccc(F)c(F)c1)C(=O)N[C@H]1N=C(c2ccc3c(c2)OCO3)c2ccccc2N(CC(=O)N(C)C)C1=O,,,CHEMBL1145882,Bioorg Med Chem Lett,2003,"{'bei': '14.68', 'le': '0.28', 'lle': '4.97', 'sei': '8.22'}",,CHEMBL134124,,CHEMBL134124,8.26,0,http://www.openphacts.org/units/Nanomolar,254691,=,1,1,=,,IC50,nM,,5.5,CHEMBL2094135,Homo sapiens,Gamma-secretase,9606,,,IC50,nM,UO_0000065,,5.5
,,335608,[],CHEMBL676871,In vitro inhibition of gamma secretase.,B,,,BAO_0000190,BAO_0000223,protein complex format,C[C@@H](Cc1ccc(F)c(F)c1)C(=O)N[C@H]1N=C(c2ccc3c(c2)CCC(=O)N3)c2ccccc2N(C)C1=O,,,CHEMBL1145882,Bioorg Med Chem Lett,2003,"{'bei': '13.55', 'le': '0.25', 'lle': '3.02', 'sei': '7.70'}",,CHEMBL337670,,CHEMBL337670,7.00,0,http://www.openphacts.org/units/Nanomolar,254682,=,1,1,=,,IC50,nM,,100.6,CHEMBL2094135,Homo sapiens,Gamma-secretase,9606,,,IC50,nM,UO_0000065,,100.6
,,339560,[],CHEMBL676871,In vitro inhibition of gamma secretase.,B,,,BAO_0000190,BAO_0000223,protein complex format,C[C@@H](Cc1ccc(F)c(F)c1)C(=O)N[C@H]1N=C(c2ccc3c(c2)CCCC3=O)c2ccccc2N(C)C1=O,,,CHEMBL1145882,Bioorg Med Chem Lett,2003,"{'bei': '16.79', 'le': '0.31', 'lle': '4.04', 'sei': '10.98'}",,CHEMBL132670,,CHEMBL132670,8.66,0,http://www.openphacts.org/units/Nanomolar,254683,=,1,1,=,,IC50,nM,,2.2,CHEMBL2094135,Homo sapiens,Gamma-secretase,9606,,,IC50,nM,UO_0000065,,2.2
,,342061,[],CHEMBL676871,In vitro inhibition of gamma secretase.,B,,,BAO_0000190,BAO_0000223,protein complex format,C[C@@H](Cc1ccc(F)c(F)c1)C(=O)N[C@H]1N=C(c2ccc3c(c2)CCNC3=O)c2ccccc2N(C)C1=O,,,CHEMBL1145882,Bioorg Med Chem Lett,2003,"{'bei': '18.44', 'le': '0.34', 'lle': '6.13', 'sei': '10.48'}",,CHEMBL133820,,CHEMBL133820,9.52,0,http://www.openphacts.org/units/Nanomolar,254680,=,1,1,=,,IC50,nM,,0.3,CHEMBL2094135,Homo sapiens,Gamma-secretase,9606,,,IC50,nM,UO_0000065,,0.3
,,342064,[],CHEMBL676871,In vitro inhibition of gamma secretase.,B,,,BAO_0000190,BAO_0000223,protein complex format,COC(=O)CN1C(=O)[C@@H](NC(=O)[C@@H](C)Cc2ccc(F)c(F)c2)N=C(c2ccc3c(c2)OCO3)c2ccccc21,,,CHEMBL1145882,Bioorg Med Chem Lett,2003,"{'bei': '14.37', 'le': '0.27', 'lle': '4.53', 'sei': '7.41'}",,CHEMBL335994,,CHEMBL335994,7.90,0,http://www.openphacts.org/units/Nanomolar,254692,=,1,1,=,,IC50,nM,,12.7,CHEMBL2094135,Homo sapiens,Gamma-secretase,9606,,,IC50,nM,UO_0000065,,12.7
,,343188,[],CHEMBL676871,In vitro inhibition of gamma secretase.,B,,,BAO_0000190,BAO_0000223,protein complex format,C[C@@H](Cc1ccc(F)c(F)c1)C(=O)N[C@H]1N=C(c2ccc3c(c2)OCCO3)c2ccccc2N(C)C1=O,,,CHEMBL1145882,Bioorg Med Chem Lett,2003,"{'bei': '16.47', 'le': '0.31', 'lle': '4.46', 'sei': '10.38'}",,CHEMBL341257,,CHEMBL341257,8.33,0,http://www.openphacts.org/units/Nanomolar,254684,=,1,1,=,,IC50,nM,,4.7,CHEMBL2094135,Homo sapiens,Gamma-secretase,9606,,,IC50,nM,UO_0000065,,4.7
,,391143,[],CHEMBL688486,Inhibition of amyloid beta protein production in transfected H4 (neuroglioma) cells expressing APF constructs.,F,,,BAO_0000190,BAO_0000219,cell-based format,CCOC(=O)[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@@H](NC(=O)/C=C/c1ccccc1)C(C)C,,,CHEMBL1136667,Bioorg Med Chem Lett,2003,,,CHEMBL18997,,CHEMBL18997,5.30,0,http://www.openphacts.org/units/Nanomolar,23887,=,1,1,=,,IC50,nM,,5000.0,CHEMBL2094135,Homo sapiens,Gamma-secretase,9606,,,IC50,uM,UO_0000065,,5.0
,,392407,[],CHEMBL688486,Inhibition of amyloid beta protein production in transfected H4 (neuroglioma) cells expressing APF constructs.,F,,,BAO_0000190,BAO_0000219,cell-based format,CCOC(=O)[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](CC(C)C)NC(=O)Cc1cccc(F)c1,,,CHEMBL1136667,Bioorg Med Chem Lett,2003,,,CHEMBL283326,,CHEMBL283326,6.04,0,http://www.openphacts.org/units/Nanomolar,23895,=,1,1,=,,IC50,nM,,920.0,CHEMBL2094135,Homo sapiens,Gamma-secretase,9606,,,IC50,uM,UO_0000065,,0.92
,,398603,[],CHEMBL688486,Inhibition of amyloid beta protein production in transfected H4 (neuroglioma) cells expressing APF constructs.,F,,,BAO_0000190,BAO_0000219,cell-based format,CCOC(=O)[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@@H](NC(=O)C1(c2ccccc2)CC1)C(C)C,,,CHEMBL1136667,Bioorg Med Chem Lett,2003,,,CHEMBL418184,,CHEMBL418184,,0,http://www.openphacts.org/units/Nanomolar,23911,>,1,1,>,,IC50,nM,,25000.0,CHEMBL2094135,Homo sapiens,Gamma-secretase,9606,,,IC50,uM,UO_0000065,,25.0
,,398604,[],CHEMBL688486,Inhibition of amyloid beta protein production in transfected H4 (neuroglioma) cells expressing APF constructs.,F,,,BAO_0000190,BAO_0000219,cell-based format,CCCC(=O)[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](CC(C)C)NC(=O)CCC(C)C,,,CHEMBL1136667,Bioorg Med Chem Lett,2003,,,CHEMBL19800,,CHEMBL19800,6.24,0,http://www.openphacts.org/units/Nanomolar,23891,=,1,1,=,,IC50,nM,,580.0,CHEMBL2094135,Homo sapiens,Gamma-secretase,9606,,,IC50,uM,UO_0000065,,0.58
,,398605,[],CHEMBL688486,Inhibition of amyloid beta protein production in transfected H4 (neuroglioma) cells expressing APF constructs.,F,,,BAO_0000190,BAO_0000219,cell-based format,CC(=O)[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](CC(C)C)NC(=O)Cc1ccccc1,,,CHEMBL1136667,Bioorg Med Chem Lett,2003,,,CHEMBL19863,,CHEMBL19863,6.05,0,http://www.openphacts.org/units/Nanomolar,23904,=,1,1,=,,IC50,nM,,900.0,CHEMBL2094135,Homo sapiens,Gamma-secretase,9606,,,IC50,uM,UO_0000065,,0.9
,,399795,[],CHEMBL688486,Inhibition of amyloid beta protein production in transfected H4 (neuroglioma) cells expressing APF constructs.,F,,,BAO_0000190,BAO_0000219,cell-based format,CC(C)C[C@H](NC(=O)Cc1ccccc1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)C(=O)Cc1ccccc1,,,CHEMBL1136667,Bioorg Med Chem Lett,2003,,,CHEMBL279175,,CHEMBL279175,6.40,0,http://www.openphacts.org/units/Nanomolar,23901,=,1,1,=,,IC50,nM,,400.0,CHEMBL2094135,Homo sapiens,Gamma-secretase,9606,,,IC50,uM,UO_0000065,,0.4
,,402688,[],CHEMBL688486,Inhibition of amyloid beta protein production in transfected H4 (neuroglioma) cells expressing APF constructs.,F,,,BAO_0000190,BAO_0000219,cell-based format,CC(C)CCC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)C(=O)Cc1ccccc1,,,CHEMBL1136667,Bioorg Med Chem Lett,2003,,,CHEMBL19741,,CHEMBL19741,6.52,0,http://www.openphacts.org/units/Nanomolar,23905,=,1,1,=,,IC50,nM,,300.0,CHEMBL2094135,Homo sapiens,Gamma-secretase,9606,,,IC50,uM,UO_0000065,,0.3
,,404070,[],CHEMBL688486,Inhibition of amyloid beta protein production in transfected H4 (neuroglioma) cells expressing APF constructs.,F,,,BAO_0000190,BAO_0000219,cell-based format,CCOC(=O)[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](CC(C)C)NC(=O)CCC(C)C,,,CHEMBL1136667,Bioorg Med Chem Lett,2003,,,CHEMBL273785,,CHEMBL273785,5.82,0,http://www.openphacts.org/units/Nanomolar,23909,=,1,1,=,,IC50,nM,,1500.0,CHEMBL2094135,Homo sapiens,Gamma-secretase,9606,,,IC50,uM,UO_0000065,,1.5
,,404071,[],CHEMBL688486,Inhibition of amyloid beta protein production in transfected H4 (neuroglioma) cells expressing APF constructs.,F,,,BAO_0000190,BAO_0000219,cell-based format,CC(C)CCC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)C(=O)C(C)C,,,CHEMBL1136667,Bioorg Med Chem Lett,2003,,,CHEMBL280233,,CHEMBL280233,6.26,0,http://www.openphacts.org/units/Nanomolar,23890,=,1,1,=,,IC50,nM,,550.0,CHEMBL2094135,Homo sapiens,Gamma-secretase,9606,,,IC50,uM,UO_0000065,,0.55
,,404072,[],CHEMBL688486,Inhibition of amyloid beta protein production in transfected H4 (neuroglioma) cells expressing APF constructs.,F,,,BAO_0000190,BAO_0000219,cell-based format,CC(=O)[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](CC(C)C)NC(=O)Cc1cc(F)cc(F)c1,,,CHEMBL1136667,Bioorg Med Chem Lett,2003,,,CHEMBL19244,,CHEMBL19244,6.75,0,http://www.openphacts.org/units/Nanomolar,23899,=,1,1,=,,IC50,nM,,180.0,CHEMBL2094135,Homo sapiens,Gamma-secretase,9606,,,IC50,uM,UO_0000065,,0.18
,,409184,[],CHEMBL688486,Inhibition of amyloid beta protein production in transfected H4 (neuroglioma) cells expressing APF constructs.,F,,,BAO_0000190,BAO_0000219,cell-based format,CCOC(=O)[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](CC(C)C)NC(=O)Cc1cc(F)cc(F)c1,,,CHEMBL1136667,Bioorg Med Chem Lett,2003,,,CHEMBL19645,,CHEMBL19645,6.35,0,http://www.openphacts.org/units/Nanomolar,23894,=,1,1,=,,IC50,nM,,450.0,CHEMBL2094135,Homo sapiens,Gamma-secretase,9606,,,IC50,uM,UO_0000065,,0.45
,,411573,[],CHEMBL688486,Inhibition of amyloid beta protein production in transfected H4 (neuroglioma) cells expressing APF constructs.,F,,,BAO_0000190,BAO_0000219,cell-based format,CCOC(=O)[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@@H](NC(=O)Cc1ccccc1)C(C)C,,,CHEMBL1136667,Bioorg Med Chem Lett,2003,,,CHEMBL19213,,CHEMBL19213,5.47,0,http://www.openphacts.org/units/Nanomolar,23888,=,1,1,=,,IC50,nM,,3400.0,CHEMBL2094135,Homo sapiens,Gamma-secretase,9606,,,IC50,uM,UO_0000065,,3.4
,,411574,[],CHEMBL688486,Inhibition of amyloid beta protein production in transfected H4 (neuroglioma) cells expressing APF constructs.,F,,,BAO_0000190,BAO_0000219,cell-based format,CCOC(=O)[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](CC(C)C)NC(=O)Cc1ccccc1,,,CHEMBL1136667,Bioorg Med Chem Lett,2003,,,CHEMBL18926,,CHEMBL18926,5.80,0,http://www.openphacts.org/units/Nanomolar,23910,=,1,1,=,,IC50,nM,,1600.0,CHEMBL2094135,Homo sapiens,Gamma-secretase,9606,,,IC50,uM,UO_0000065,,1.6
,,411575,[],CHEMBL688486,Inhibition of amyloid beta protein production in transfected H4 (neuroglioma) cells expressing APF constructs.,F,,,BAO_0000190,BAO_0000219,cell-based format,CC(C)C[C@H](NC(=O)Cc1ccccc1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)C(=O)O,,,CHEMBL1136667,Bioorg Med Chem Lett,2003,,,CHEMBL428361,,CHEMBL428361,4.82,0,http://www.openphacts.org/units/Nanomolar,23893,=,1,1,=,,IC50,nM,,15000.0,CHEMBL2094135,Homo sapiens,Gamma-secretase,9606,,,IC50,uM,UO_0000065,,15.0
,,412794,[],CHEMBL688486,Inhibition of amyloid beta protein production in transfected H4 (neuroglioma) cells expressing APF constructs.,F,,,BAO_0000190,BAO_0000219,cell-based format,CCOC(=O)[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@@H](NC(=O)Cc1ccccc1F)C(C)C,,,CHEMBL1136667,Bioorg Med Chem Lett,2003,,,CHEMBL19664,,CHEMBL19664,4.77,0,http://www.openphacts.org/units/Nanomolar,23897,=,1,1,=,,IC50,nM,,17000.0,CHEMBL2094135,Homo sapiens,Gamma-secretase,9606,,,IC50,uM,UO_0000065,,17.0
,,413963,[],CHEMBL688486,Inhibition of amyloid beta protein production in transfected H4 (neuroglioma) cells expressing APF constructs.,F,,,BAO_0000190,BAO_0000219,cell-based format,CCOC(=O)[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](NC(=O)Cc1ccccc1)C(C)C,,,CHEMBL1136667,Bioorg Med Chem Lett,2003,,,CHEMBL19291,,CHEMBL19291,,0,http://www.openphacts.org/units/Nanomolar,23907,>,1,1,>,,IC50,nM,,25000.0,CHEMBL2094135,Homo sapiens,Gamma-secretase,9606,,,IC50,uM,UO_0000065,,25.0
