molecule_chembl_id,canonical_smiles,log_IC50,activity_class,mol,MW,LogP,HBD,HBA
CHEMBL336071,C[C@@H](Cc1ccc(F)c(F)c1)C(=O)N[C@H]1N=C(c2ccc3c(c2)OCO3)c2ccccc2NC1=O,8.744727494896694,potent,<rdkit.Chem.rdchem.Mol object at 0x7b341db7fed0>,477.4670000000002,3.804100000000002,2,5
CHEMBL336813,C[C@@H](Cc1ccc(F)c(F)c1)C(=O)N[C@H]1N=C(c2ccc3c(c2)OCO3)c2ccccc2N(CCO)C1=O,9.045757490560675,potent,<rdkit.Chem.rdchem.Mol object at 0x7b341db8cdd0>,521.5200000000003,3.1909000000000014,2,6
CHEMBL334594,C[C@@H](Cc1ccc(F)c(F)c1)C(=O)N[C@H]1N=C(c2ccc3c(c2)OCO3)c2ccccc2N(CC(N)=O)C1=O,7.87942606879415,potent,<rdkit.Chem.rdchem.Mol object at 0x7b341db8ca50>,534.5190000000003,2.6838999999999995,2,6
CHEMBL133237,C[C@@H](Cc1ccc(F)c(F)c1)C(=O)N[C@H]1N=C(c2ccc3c(=O)ccoc3c2)c2ccccc2N(C)C1=O,8.920818753952375,potent,<rdkit.Chem.rdchem.Mol object at 0x7b341db8c7b0>,515.5160000000002,4.206100000000003,1,5
CHEMBL132900,C[C@@H](Cc1ccc(F)c(F)c1)C(=O)N[C@H]1N=C(c2ccc3c(c2)CCN(C)C3=O)c2ccccc2N(C)C1=O,5.724919101543142,weekly_active,<rdkit.Chem.rdchem.Mol object at 0x7b341db8d2a0>,530.5750000000003,3.727800000000003,1,4
CHEMBL423533,C[C@@H](Cc1ccc(F)c(F)c1)C(=O)N[C@H]1N=C(c2ccc3c(c2)CCC3=O)c2ccccc2N(C)C1=O,8.443697499232712,potent,<rdkit.Chem.rdchem.Mol object at 0x7b341db8cd60>,501.5330000000003,4.228600000000003,1,4
CHEMBL133857,C[C@@H](Cc1ccc(F)c(F)c1)C(=O)N[C@H]1N=C(c2ccc3c(O)nccc3c2)c2ccccc2N(C)C1=O,9.698970004336019,potent,<rdkit.Chem.rdchem.Mol object at 0x7b341db8d310>,514.5320000000002,4.353500000000003,2,5
CHEMBL133235,C[C@@H](Cc1ccc(F)c(F)c1)C(=O)N[C@H]1N=C(c2ccc3c(c2)OC(F)(F)O3)c2ccccc2N(C)C1=O,7.552841968657781,potent,<rdkit.Chem.rdchem.Mol object at 0x7b341db8dd90>,527.4740000000002,4.4212000000000025,1,5
CHEMBL130093,C[C@@H](Cc1ccc(F)c(F)c1)C(=O)NC1N=C(c2ccc(C(N)=O)cc2)c2ccccc2N(C)C1=O,9.309803919971486,potent,<rdkit.Chem.rdchem.Mol object at 0x7b341db8d4d0>,490.5100000000002,3.1986000000000017,2,4
CHEMBL133746,C[C@@H](Cc1ccc(F)c(F)c1)C(=O)N[C@H]1N=C(c2ccc3c(c2)OCO3)c2ccccc2N(C)C1=O,7.87942606879415,potent,<rdkit.Chem.rdchem.Mol object at 0x7b341db8e030>,491.49400000000026,3.828400000000002,1,5
